model,rmse_log10_ne_rust,rmse_log10_ne_c
constant,0.04850101681395338,0.04664244390458849
bottleneck,0.23829617146990917,0.2525335641223752
expansion,0.13398590153999296,0.13867601943277588
zigzag,0.12200248217458755,0.11743652670902693
