model,tool,wall_sec_mean,wall_sec_std,peak_rss_mb_mean,peak_rss_mb_std
constant,c,438.0394387166947,6.950710225060956,5039.2546875,0.0244847068198992
constant,rust,282.2482130291639,1.2405405007975774,1419.75625,2.9509352184001316
bottleneck,c,446.7311215623748,37.879535176496134,5039.228125,0.0267609012055527
bottleneck,rust,284.15071636678186,8.481617178918516,1420.0,2.3257526596841394
expansion,c,449.56874512089416,40.80968158870702,5039.2390625,0.0375939217345471
expansion,rust,289.5086016667774,25.02648553729027,1422.2078125,2.537030971465218
zigzag,c,451.8260101833381,39.499237963716325,5039.2203125,0.0364211119521963
zigzag,rust,289.5496620624326,25.193989469053676,1422.0796875,2.9285328743257892
