model,delta_theta_rel_mhs,delta_theta_rel_vcf,delta_rho_rel_mhs,delta_rho_rel_vcf,lam_l1_mhs_vs_psmcfa,lam_l1_vcf_vs_psmcfa,rmse_curve_log10_mhs_vs_psmcfa,rmse_curve_log10_vcf_vs_psmcfa,rmse_curve_log10_vcf_vs_mhs
bottleneck,0.0003439834143402185,0.0003439834143402185,4.595213259305623e-05,4.595213259305623e-05,0.025120886240038703,0.025120886240038703,0.0043527965422274165,0.0043527965422274165,0.0
constant,9.769737574635846e-05,9.769737574635846e-05,7.364887564516236e-05,7.364887564516236e-05,0.00039836531492026817,0.00039836531492026817,0.00019601472412061977,0.00019601472412061977,0.0
expansion,0.0005091209969058175,0.0005091209969058175,0.00041494843154174776,0.00041494843154174776,0.006789991561627613,0.006789991561627613,0.0018195800965922768,0.0018195800965922768,0.0
zigzag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
