model,tool,wall_sec_mean,wall_sec_std,peak_rss_mb_mean,peak_rss_mb_std
bottleneck,c,525.663113167005,69.93440363142204,5039.53125,0.48713928962874675
bottleneck,rust,320.85076198598836,40.05779525678412,1416.765625,1.1674918027014152
constant,c,672.9674076253626,131.17363432881643,5039.6875,0.7722923972660873
constant,rust,344.14942543103825,52.301409377077064,1418.0989583333333,1.3625441984421727
expansion,c,526.1683178613117,72.39603005910182,5039.645833333333,0.7398950340813436
expansion,rust,318.3047933190052,42.54884989793548,1420.4270833333333,4.645970546366871
zigzag,c,555.092759402624,71.37496743677515,5039.911458333333,0.623109118821406
zigzag,rust,335.73319422166486,38.01300522239609,1420.0416666666667,0.6948002560688625
