model,batch_size,rmse_log10_ne,wall_sec,peak_rss_mb
constant,None(full),0.0485659706916238,384.1180112079019,3735.78125
constant,100000,0.048562725905181715,368.37196966598276,1328.453125
constant,300000,0.04860137485730413,370.7770429579541,1416.5
constant,1000000,0.04840955104825223,370.4105971669778,1746.390625
zigzag,None(full),0.12546220996305257,388.91985433304217,3728.578125
zigzag,100000,0.1253534053079532,368.3886594590731,1320.625
zigzag,300000,0.12555077994378325,346.3648987080669,1411.421875
zigzag,1000000,0.12554097120483979,293.2652990419883,1749.0625
