model,tool,rmse_log10_ne
bottleneck,rust,0.23649616073622323
bottleneck,c,0.25126918471297083
constant,c,0.04670959836742888
constant,rust,0.04860137485730413
expansion,rust,0.13826593605999218
expansion,c,0.14145374034062902
zigzag,c,0.12159329327488441
zigzag,rust,0.12555077994378325
